Geracao,MelhorDistancia
305,2401504.00
306,2401504.00
307,2401504.00
308,2373340.00
309,2373340.00
310,2373340.00
311,2373340.00
312,2373340.00
313,2361036.25
314,2361036.25
315,2361036.25
316,2361036.25
317,2361036.25
318,2361036.25
319,2361036.25
320,2332849.50
321,2332849.50
322,2332849.50
323,2332849.50
324,2332849.50
325,2332849.50
326,2332694.25
327,2332694.25
328,2332694.25
329,2332694.25
330,2332694.25
331,2332694.25
332,2332694.25
333,2320314.50
334,2320314.50
335,2320314.50
336,2320314.50
337,2265926.25
338,2265926.25
339,2252575.00
340,2252575.00
341,2252575.00
342,2252575.00
343,2252575.00
344,2252575.00
345,2252575.00
346,2252575.00
347,2252575.00
348,2252575.00
349,2252575.00
350,2252575.00
351,2252575.00
352,2252575.00
353,2252575.00
354,2252575.00
355,2252575.00
356,2252575.00
357,2252575.00
358,2239045.50
359,2225931.50
360,2213318.25
361,2213318.25
362,2199613.00
363,2199613.00
364,2199613.00
365,2199613.00
366,2199435.00
367,2199435.00
368,2199435.00
369,2198563.00
370,2198563.00
371,2178979.00
372,2178979.00
373,2178979.00
374,2178979.00
375,2178979.00
376,2178979.00
377,2177132.75
378,2177132.75
379,2177132.75
380,2177132.75
381,2177132.75
382,2172184.75
383,2152762.50
384,2152762.50
385,2152762.50
386,2152762.50
387,2152762.50
388,2152762.50
389,2152762.50
390,2152762.50
391,2152762.50
392,2152762.50
393,2144400.50
394,2144400.50
395,2144400.50
396,2144400.50
397,2144400.50
398,2139217.25
399,2139217.25
400,2139217.25
401,2139217.25
402,2139217.25
403,2139216.75
404,2139216.75
405,2139216.75
406,2139216.75
407,2139216.75
408,2139216.75
409,2139216.75
410,2139216.75
411,2139216.75
412,2139216.75
413,2138407.50
414,2135820.50
415,2135820.50
416,2135820.50
417,2135820.50
418,2113844.00
419,2113844.00
420,2113844.00
421,2113844.00
422,2113844.00
423,2113844.00
424,2113844.00
425,2113844.00
426,2113844.00
427,2113844.00
428,2113844.00
429,2113844.00
430,2113844.00
431,2113844.00
432,2113844.00
433,2110543.50
434,2110543.50
435,2110543.50
436,2110543.50
437,2110543.50
438,2110543.50
439,2110543.50
440,2063115.50
441,2063115.50
442,2063115.50
443,2063115.50
444,2063115.50
445,2063115.50
446,2063115.50
447,2063115.50
448,2063115.50
449,2063115.50
450,2063115.50
451,2063115.50
452,2063115.50
453,2063115.50
454,2044681.75
455,2044681.75
456,2044681.75
457,2044681.75
458,2044681.75
459,2044681.75
460,2044681.75
461,2044681.75
462,2044629.88
463,2030671.50
464,2030671.50
465,2030553.12
466,2022467.12
467,1982606.88
468,1982606.88
469,1982606.88
470,1982606.88
471,1982606.88
472,1982606.88
473,1982606.88
474,1982606.88
475,1982606.88
476,1982606.88
477,1982606.88
478,1982606.88
479,1982606.88
480,1982606.88
481,1982606.88
482,1954713.88
483,1954713.88
484,1954713.88
485,1954713.88
486,1954713.88
487,1954713.88
488,1954713.88
489,1954713.88
490,1954713.88
491,1954648.00
492,1934081.62
493,1934081.62
494,1934081.62
495,1934081.62
496,1899435.25
497,1899435.25
498,1899435.25
499,1899435.25
500,1899435.25
501,1899435.25
502,1899435.25
503,1899435.25
504,1899435.25
505,1899435.25
506,1892762.62
507,1892762.50
508,1892762.50
509,1892762.50
510,1892762.50
511,1892762.25
512,1892457.25
513,1892457.25
514,1892457.25
515,1892457.25
516,1892457.25
517,1892457.25
518,1892355.25
519,1891484.88
520,1891484.88
521,1891484.88
522,1891484.88
523,1891484.88
524,1891484.88
525,1891484.88
526,1891484.88
527,1878412.50
528,1878412.50
529,1878412.50
530,1878412.50
531,1878412.50
532,1878412.50
533,1878412.50
534,1878412.50
535,1878412.50
536,1878412.50
537,1878412.50
538,1878412.50
539,1878412.50
540,1878412.50
541,1878412.50
542,1878412.50
543,1878412.50
544,1878050.00
545,1878050.00
546,1878050.00
547,1878050.00
548,1878050.00
549,1878050.00
550,1878050.00
551,1878050.00
552,1878050.00
553,1878050.00
554,1864546.12
555,1864546.12
556,1864546.12
557,1864546.12
558,1864546.12
559,1864546.12
560,1864546.12
561,1864107.25
562,1864107.25
563,1837335.62
564,1837302.50
565,1837302.50
566,1837302.50
567,1837302.50
568,1837302.50
569,1837302.50
570,1837084.00
571,1837084.00
572,1837084.00
573,1809840.25
574,1809840.25
575,1809840.25
576,1809840.25
577,1809840.25
578,1809552.75
579,1809552.75
580,1809552.75
581,1809552.75
582,1809552.75
583,1809552.75
584,1809552.75
585,1795973.88
586,1795973.88
587,1782749.88
588,1782749.88
589,1782749.88
590,1782749.88
591,1780711.38
592,1768849.50
593,1767878.88
594,1767878.88
595,1767878.88
596,1767878.88
597,1767878.88
598,1753978.75
599,1738984.88
600,1738984.88
601,1738984.88
602,1738984.88
603,1738984.88
604,1738984.88
605,1738984.88
606,1738984.88
607,1738984.88
608,1738984.88
609,1738984.88
610,1738984.88
611,1738984.88
612,1726152.38
613,1726152.38
614,1726152.38
615,1726152.38
616,1726152.38
617,1726152.38
618,1701514.12
619,1701514.12
620,1701514.12
621,1701514.12
622,1701514.12
623,1701514.12
624,1701514.12
625,1701514.12
626,1701514.12
627,1701514.12
628,1687757.88
629,1687757.88
630,1687757.88
631,1687757.88
632,1687757.88
633,1687757.62
634,1687757.62
635,1687757.62
636,1687757.62
637,1687757.62
638,1687757.62
639,1687757.62
640,1687757.62
641,1674136.12
642,1674136.12
643,1674136.12
644,1673696.25
645,1673696.25
646,1673696.25
647,1673696.25
648,1673696.25
649,1673696.25
650,1673696.25
651,1673696.25
652,1659737.00
653,1659737.00
654,1659737.00
655,1659737.00
656,1659737.00
657,1659737.00
658,1659737.00
659,1659737.00
660,1659737.00
661,1659737.00
662,1659737.00
663,1659737.00
664,1659737.00
665,1659737.00
666,1659736.62
667,1659247.25
668,1659247.25
669,1659247.25
670,1659247.25
671,1645844.50
672,1645675.12
673,1645675.12
674,1645675.12
675,1645675.12
676,1645675.12
677,1645675.12
678,1645675.12
679,1645675.12
680,1632147.75
681,1632147.75
682,1632130.88
683,1632130.88
684,1632130.88
685,1632130.88
686,1632130.88
687,1632130.88
688,1631953.00
689,1631953.00
690,1631893.12
691,1631893.12
692,1631893.12
693,1631893.12
694,1631893.12
695,1631893.12
696,1631893.12
697,1631893.12
698,1631876.75
699,1631876.75
700,1631876.75
701,1618188.12
702,1618188.12
703,1618188.12
704,1618188.12
705,1604381.12
706,1604381.12
707,1604381.12
708,1604381.12
709,1604381.12
710,1604381.12
711,1604381.12
712,1604381.12
713,1592975.38
714,1592975.38
715,1592975.38
716,1592975.38
717,1592975.38
718,1592975.38
719,1592975.38
720,1592975.38
721,1592975.38
722,1592975.38
723,1592975.38
724,1592975.38
725,1592975.38
726,1590970.25
727,1590970.25
728,1579439.62
729,1579439.62
730,1579439.62
731,1579270.00
732,1579270.00
733,1579270.00
734,1579270.00
735,1565657.62
736,1565657.62
737,1565657.62
738,1565657.62
739,1565657.62
740,1565657.62
741,1565657.62
742,1565657.62
743,1565657.62
744,1565657.62
745,1565657.62
746,1565657.62
747,1565657.62
748,1565657.62
749,1565657.62
750,1565657.62
751,1565657.62
752,1551834.25
753,1551834.25
754,1551834.25
755,1551834.25
756,1551834.25
757,1551834.25
758,1551834.25
759,1551833.88
760,1551833.88
761,1551833.88
762,1551833.88
763,1538086.38
764,1538086.38
765,1538086.38
766,1538086.38
767,1538086.38
768,1524160.62
769,1524160.62
770,1524160.62
771,1524160.62
772,1524160.62
773,1524160.62
774,1524160.62
775,1524160.62
776,1524160.62
777,1524160.62
778,1524160.62
779,1524160.62
780,1524160.62
781,1524160.62
782,1524160.62
783,1524160.62
784,1524160.62
785,1524160.62
786,1523905.75
787,1523905.75
788,1523905.75
789,1523905.75
790,1523905.75
791,1523905.75
792,1523905.75
793,1523905.75
794,1523905.75
795,1523905.75
796,1523905.75
797,1510286.25
798,1510286.25
799,1510286.25
800,1510286.25
801,1510286.25
802,1510285.50
803,1496258.75
804,1496258.75
805,1496258.75
806,1496258.75
807,1496258.75
808,1482560.88
809,1482560.88
810,1482560.88
811,1482536.00
812,1482460.25
813,1482460.25
814,1482460.25
815,1482460.25
816,1455014.88
817,1455014.88
818,1455014.88
819,1455014.88
820,1455014.88
821,1455014.88
822,1455014.88
823,1455014.88
824,1455014.88
825,1454972.38
826,1454972.38
827,1454972.38
828,1454913.12
829,1454913.12
830,1454913.12
831,1454913.12
832,1441004.38
833,1441004.38
834,1441004.38
835,1441004.38
836,1441004.38
837,1441004.38
838,1427205.75
839,1427205.75
840,1427205.75
841,1427205.62
842,1403878.12
843,1403878.12
844,1403878.12
845,1403878.12
846,1403878.12
847,1403878.12
848,1403878.12
849,1403878.12
850,1403878.12
851,1403878.12
852,1403878.12
853,1403878.12
854,1403878.12
855,1403878.12
856,1403878.12
857,1403878.12
858,1403878.12
859,1403878.12
860,1402594.75
861,1402594.75
862,1402594.75
863,1402594.75
864,1390155.88
865,1390155.88
866,1390155.88
867,1390155.88
868,1390155.88
869,1390155.88
870,1390155.88
871,1358902.25
872,1358902.25
873,1358902.25
874,1358902.25
875,1358902.25
876,1358902.25
877,1358902.25
878,1358902.25
879,1358902.25
880,1358902.25
881,1358902.25
882,1358902.25
883,1358902.25
884,1358901.75
885,1358901.75
886,1355766.12
887,1355765.62
888,1355765.62
889,1355765.62
890,1355765.62
891,1355765.62
892,1328143.00
893,1328143.00
894,1328143.00
895,1328143.00
896,1328143.00
897,1317193.50
898,1317193.50
899,1317193.50
900,1317193.50
901,1317193.50
902,1317193.50
903,1317193.50
904,1317193.50
905,1317193.50
906,1317193.50
907,1314352.88
908,1314352.88
909,1314352.88
910,1314352.62
911,1314310.12
912,1300755.12
913,1300755.12
914,1300755.12
915,1300755.12
916,1300755.12
917,1300755.12
918,1300755.12
919,1300755.12
920,1300755.12
921,1300755.12
922,1300755.12
923,1300755.12
924,1300755.12
925,1300755.12
926,1300755.12
927,1300755.12
928,1300755.12
929,1300678.75
930,1300678.75
931,1300678.75
932,1300678.75
933,1286812.38
934,1286812.38
935,1286812.38
936,1286812.38
937,1286812.38
938,1286812.38
939,1286812.38
940,1286812.38
941,1286812.38
942,1286736.00
943,1286736.00
944,1286736.00
945,1286736.00
946,1286736.00
947,1286736.00
948,1286736.00
949,1286736.00
950,1286736.00
951,1286736.00
952,1286736.00
953,1286736.00
954,1286710.88
955,1286710.88
956,1286634.62
957,1286634.62
958,1286634.38
959,1286634.38
960,1245154.38
961,1245154.38
962,1245154.38
963,1245154.38
964,1245154.38
965,1245154.38
966,1245154.38
967,1245154.38
968,1245154.38
969,1245154.38
970,1245154.38
971,1245154.38
972,1245154.38
973,1245154.38
974,1231507.00
975,1231288.00
976,1231288.00
977,1231288.00
978,1231288.00
979,1231288.00
980,1231288.00
981,1231288.00
982,1231288.00
983,1231288.00
984,1231288.00
985,1231288.00
986,1231288.00
987,1231288.00
988,1231288.00
989,1231288.00
990,1231228.50
991,1231228.50
992,1231228.50
993,1231228.50
994,1231228.50
995,1203343.12
996,1203343.12
997,1203343.12
998,1203343.12
999,1203343.12
1000,1203343.12
1001,1203343.12
1002,1203343.12
1003,1203343.12
1004,1203343.12
1005,1203343.12
1006,1203343.12
1007,1203343.12
1008,1203343.12
1009,1203343.12
1010,1203343.12
1011,1203343.12
1012,1203343.12
1013,1203343.12
1014,1203343.12
1015,1203343.12
1016,1203343.12
1017,1203343.12
1018,1203343.12
1019,1203343.12
1020,1203343.12
1021,1203343.12
1022,1203343.12
1023,1203343.12
1024,1203343.12
1025,1203343.12
1026,1203343.12
1027,1203343.12
1028,1203343.12
1029,1203343.12
1030,1203343.12
1031,1203343.12
1032,1203343.12
1033,1203343.12
1034,1203343.12
1035,1203343.12
1036,1203343.12
1037,1203343.12
1038,1203343.12
1039,1203343.12
1040,1203326.00
1041,1203326.00
1042,1203326.00
1043,1203301.38
1044,1203301.38
1045,1203301.38
1046,1203301.38
1047,1203301.38
1048,1203301.38
1049,1203300.62
1050,1203300.62
1051,1203300.62
1052,1203300.62
1053,1203300.62
1054,1203300.62
1055,1203300.62
1056,1203300.62
1057,1203300.62
1058,1203300.62
1059,1203300.62
1060,1203300.62
1061,1203300.62
1062,1203300.62
1063,1203300.62
1064,1203300.62
1065,1203300.62
1066,1203300.62
1067,1203300.62
1068,1203300.62
1069,1203300.62
1070,1203300.62
1071,1203300.62
1072,1203300.62
1073,1203300.62
1074,1203300.62
1075,1203300.62
1076,1203300.62
1077,1203300.62
1078,1203300.62
1079,1203300.62
1080,1203300.62
1081,1203300.62
1082,1203300.62
1083,1203300.62
1084,1203300.62
1085,1203300.62
1086,1203300.62
1087,1203300.62
1088,1194020.62
1089,1194020.62
1090,1194020.62
1091,1194020.62
1092,1194020.62
1093,1194020.62
1094,1194020.62
1095,1194020.62
1096,1194020.62
1097,1194020.62
1098,1194020.62
1099,1194020.62
1100,1194020.62
1101,1194020.62
1102,1194020.62
1103,1194020.62
1104,1194020.62
1105,1194020.62
1106,1194020.62
1107,1194020.62
1108,1194020.62
1109,1194020.62
1110,1194020.62
1111,1194020.62
1112,1194020.62
1113,1194020.62
1114,1194020.62
1115,1194020.50
1116,1194020.50
1117,1194020.50
1118,1194020.50
1119,1194020.50
1120,1194020.50
1121,1194020.50
1122,1194020.50
1123,1194020.50
1124,1193749.38
1125,1193749.38
1126,1193749.38
1127,1193749.38
1128,1193749.38
1129,1193749.38
1130,1193749.38
1131,1193749.38
1132,1193749.38
1133,1193749.38
1134,1193749.38
1135,1193749.38
1136,1193749.38
1137,1193749.38
1138,1193749.38
1139,1193749.38
1140,1193749.38
1141,1193749.38
1142,1193749.38
1143,1193250.00
1144,1193250.00
1145,1193250.00
1146,1193250.00
1147,1193250.00
1148,1193250.00
1149,1193250.00
1150,1193250.00
1151,1193250.00
1152,1193250.00
1153,1193250.00
1154,1193250.00
1155,1193250.00
1156,1193250.00
1157,1193250.00
1158,1193250.00
1159,1193250.00
1160,1193250.00
1161,1193250.00
1162,1193250.00
1163,1193250.00
1164,1182046.88
1165,1182046.88
1166,1179849.00
1167,1179849.00
1168,1168923.38
1169,1168923.38
1170,1168923.38
1171,1168923.38
1172,1168923.38
1173,1168923.38
1174,1168923.38
1175,1168923.38
1176,1168923.38
1177,1168923.38
1178,1168923.38
1179,1168923.38
1180,1168923.38
1181,1168923.38
1182,1168923.38
1183,1168923.38
1184,1168923.38
1185,1168923.38
1186,1168923.38
1187,1168923.38
1188,1168923.38
1189,1168923.38
1190,1168923.38
1191,1168923.38
1192,1168923.38
1193,1168923.38
1194,1168923.38
1195,1168923.38
1196,1168923.38
1197,1168923.38
1198,1168923.38
1199,1168923.38
1200,1168923.38
1201,1168923.38
1202,1168923.38
1203,1168923.38
1204,1168923.38
1205,1168923.38
1206,1168923.38
1207,1168923.38
1208,1168923.38
1209,1168923.38
1210,1168923.38
1211,1168923.38
1212,1168923.38
1213,1168923.38
1214,1168923.38
1215,1168923.38
1216,1168923.38
1217,1168923.38
1218,1168923.38
1219,1168923.38
1220,1168923.38
1221,1168923.38
1222,1168923.38
1223,1168923.38
1224,1168923.38
1225,1168923.38
1226,1168923.38
1227,1168923.38
1228,1168923.38
1229,1168923.38
1230,1168923.38
1231,1168923.38
1232,1168923.38
1233,1168923.38
1234,1168923.38
1235,1168923.38
1236,1168923.38
1237,1168923.38
1238,1168923.38
1239,1168923.38
1240,1155209.12
1241,1155209.12
1242,1155209.12
1243,1155209.12
1244,1155209.12
1245,1155209.12
1246,1155209.12
1247,1155209.12
1248,1154980.50
1249,1154980.50
1250,1154980.50
1251,1154980.50
1252,1154980.50
1253,1154980.50
1254,1154980.50
1255,1154980.50
1256,1154980.50
1257,1154980.50
1258,1154980.50
1259,1154980.50
1260,1154980.50
1261,1154980.50
1262,1154980.50
1263,1154980.50
1264,1141842.88
1265,1141842.38
1266,1141842.38
1267,1141842.38
1268,1141842.38
1269,1141842.38
1270,1141842.38
1271,1141842.38
1272,1141072.00
1273,1127942.50
1274,1127942.50
1275,1100090.75
1276,1100090.75
1277,1100090.75
1278,1100090.75
1279,1100090.75
1280,1100090.75
1281,1099879.12
1282,1099879.12
1283,1099879.12
1284,1099879.12
1285,1099879.12
1286,1099879.12
1287,1099879.12
1288,1099879.12
1289,1099879.12
1290,1099879.12
1291,1099879.12
1292,1099879.12
1293,1099879.12
1294,1099879.12
1295,1099879.12
1296,1099879.12
1297,1099879.00
1298,1099879.00
1299,1099879.00
1300,1099879.00
1301,1099879.00
1302,1099879.00
1303,1099879.00
1304,1099879.00
1305,1099879.00
1306,1099879.00
1307,1099879.00
1308,1099879.00
1309,1099879.00
1310,1099879.00
1311,1099879.00
1312,1099879.00
1313,1099879.00
1314,1099879.00
1315,1099879.00
1316,1099879.00
1317,1099879.00
1318,1099879.00
1319,1099879.00
1320,1099879.00
1321,1099879.00
1322,1072112.75
1323,1072112.75
1324,1072112.50
1325,1072112.50
1326,1072112.50
1327,1072112.50
1328,1072112.50
1329,1072112.50
1330,1072112.50
1331,1072112.50
1332,1072112.50
1333,1072112.50
1334,1072112.50
1335,1072112.50
1336,1072112.50
1337,1072112.50
1338,1072112.50
1339,1072112.50
1340,1072112.50
1341,1072112.50
1342,1072112.50
1343,1072112.50
1344,1072112.50
1345,1072112.50
1346,1072112.50
1347,1072112.50
1348,1072112.50
1349,1072112.50
1350,1072112.50
1351,1072112.50
1352,1072112.50
1353,1072112.50
1354,1072112.50
1355,1071934.75
1356,1071934.75
1357,1071934.75
1358,1071934.75
1359,1071934.75
1360,1071934.75
1361,1071934.50
1362,1071934.50
1363,1071934.50
1364,1071934.50
1365,1071934.50
1366,1071934.50
1367,1071934.50
1368,1071934.50
1369,1071934.50
1370,1071934.50
1371,1058127.62
1372,1058127.62
1373,1058127.62
1374,1058127.62
1375,1044819.88
1376,1044819.88
1377,1044819.88
1378,1044819.88
1379,1044819.88
1380,1044819.88
1381,1044819.88
1382,1044819.88
1383,1044819.88
1384,1044819.88
1385,1044819.88
1386,1044819.88
1387,1044819.88
1388,1044819.88
1389,1044819.88
1390,1044819.88
1391,1044819.88
1392,1044819.88
1393,1044819.88
1394,1044819.88
1395,1044819.88
1396,1044819.88
1397,1044819.88
1398,1044819.88
1399,1044819.88
1400,1044819.88
1401,1044819.88
1402,1044819.88
1403,1044819.88
1404,1044819.88
1405,1030953.50
1406,1030953.50
1407,1030953.50
1408,1030953.50
1409,1030953.50
1410,1030953.50
1411,1030953.50
1412,1030953.50
1413,1030953.50
1414,1030953.50
1415,1030953.50
1416,1030953.50
1417,1030953.50
1418,1030953.50
1419,1030953.50
1420,1030953.50
1421,1030953.50
1422,1030953.50
1423,1030953.50
1424,1030953.50
1425,1030953.50
1426,1030953.50
1427,1030953.50
1428,1030953.50
1429,1030953.50
1430,1030953.50
1431,1030953.50
1432,1017053.06
1433,1017053.06
1434,1017053.06
1435,1017053.06
1436,1017053.06
1437,1017053.06
1438,1017053.06
1439,1017053.06
1440,1017053.06
1441,1017052.94
1442,1017052.94
1443,1017052.94
1444,1017052.94
1445,1003305.56
1446,1003305.56
1447,1003305.56
1448,1003305.56
1449,1003305.56
1450,1003305.56
1451,1003305.56
1452,1003305.56
1453,989404.94
1454,989404.94
1455,989404.94
1456,989404.94
1457,989404.94
1458,989404.94
1459,989404.94
1460,989404.94
1461,989404.94
1462,989404.94
1463,989404.94
1464,989404.94
1465,989404.94
1466,989404.94
1467,989404.94
1468,989404.94
1469,989404.94
1470,989404.94
1471,989404.94
1472,989404.94
1473,989404.94
1474,989404.94
1475,989404.94
1476,989404.94
1477,989404.94
1478,989404.94
1479,989404.94
1480,989404.94
1481,961578.81
1482,961578.81
1483,961578.81
1484,961578.81
1485,961578.81
1486,961578.81
1487,948025.94
1488,948025.94
1489,948025.94
1490,948025.94
1491,948025.94
1492,948025.94
1493,948025.94
1494,948025.94
1495,948025.94
1496,947881.69
1497,947881.69
1498,947881.69
1499,947881.69
1500,947881.69
1501,947881.69
1502,947881.69
1503,947881.69
1504,947881.69
1505,947881.69
1506,947881.69
1507,947881.69
1508,947881.69
1509,947881.69
1510,947881.69
1511,947881.50
1512,934057.75
1513,934057.75
1514,934057.75
1515,934057.75
1516,934057.75
1517,934057.75
1518,934057.75
1519,934057.75
1520,934057.75
1521,920233.88
1522,920233.88
1523,920233.88
1524,920233.88
1525,920233.88
1526,920233.88
1527,920233.88
1528,920233.88
1529,920030.06
1530,920030.06
1531,920030.06
1532,906409.75
1533,906409.75
1534,906409.75
1535,906409.75
1536,906409.75
1537,906409.75
1538,906409.75
1539,906409.75
1540,906409.75
1541,906409.75
1542,892382.31
1543,892382.12
1544,892382.12
1545,892382.12
1546,892382.12
1547,892382.06
1548,892382.06
1549,892382.06
1550,892382.06
1551,892382.06
1552,892382.06
1553,892382.06
1554,892382.06
1555,892382.06
1556,892382.06
1557,892382.06
1558,892382.06
1559,892382.06
1560,892382.06
1561,892382.06
1562,892382.06
1563,892382.06
1564,892382.06
1565,892382.06
1566,892382.06
1567,892382.06
1568,892382.06
1569,892382.06
1570,892382.06
1571,892382.06
1572,892382.06
1573,892382.06
1574,892382.06
1575,892382.06
1576,892382.06
1577,892382.06
1578,892382.06
1579,892382.06
1580,892382.06
1581,892382.06
1582,892382.06
1583,892382.06
1584,892382.06
1585,892382.06
1586,892382.06
1587,892382.06
1588,892382.06
1589,892382.06
1590,892382.06
1591,892382.06
1592,892382.06
1593,892382.06
1594,892382.06
1595,892382.06
1596,892382.06
1597,892382.06
1598,892382.06
1599,892382.06
1600,892382.06
1601,892382.06
1602,892382.06
1603,892382.06
1604,892382.06
1605,892382.06
1606,892382.06
1607,892382.06
1608,892382.06
1609,892382.06
1610,892382.06
1611,892382.06
1612,892382.06
1613,892382.06
1614,892381.94
1615,892381.94
1616,892381.94
1617,892381.94
1618,892381.94
1619,892381.94
1620,892381.94
1621,892381.94
1622,892381.94
1623,892381.94
1624,892381.94
1625,878439.25
1626,878439.25
1627,878439.25
1628,878439.25
1629,878439.25
1630,878439.25
1631,878439.25
1632,878439.25
1633,878439.25
1634,878439.25
1635,864657.75
1636,864657.75
1637,864657.75
1638,864657.75
1639,864657.75
1640,864657.75
1641,850587.62
1642,850587.62
1643,850587.62
1644,850587.62
1645,850587.62
1646,850587.62
1647,850587.62
1648,850587.62
1649,850587.62
1650,850587.62
1651,850587.62
1652,850587.62
1653,850587.62
1654,850587.62
1655,850587.62
1656,850587.62
1657,850587.62
1658,850587.62
1659,850587.62
1660,850587.62
1661,850587.62
1662,850587.50
1663,850587.50
1664,850587.50
1665,850587.50
1666,836730.00
1667,836730.00
1668,836730.00
1669,836730.00
1670,836730.00
1671,836730.00
1672,836730.00
1673,836730.00
1674,836730.00
1675,836730.00
1676,836730.00
1677,836730.00
1678,836729.81
1679,836729.75
1680,836729.75
1681,836729.75
1682,836729.75
1683,836729.75
1684,836729.75
1685,836729.75
1686,836729.75
1687,836729.75
1688,836729.75
